pglib_opf_case10000_goc.m	1.0	75.0	13067.10573975555	10.825068950653076	0.5673492990000001	7.7343099409999985
pglib_opf_case10192_epigrids.m	1.0	50.0	18078.24551346586	12.527410984039307	0.527336864	10.044952958000001
pglib_opf_case10480_goc.m	1.0	65.0	35061.78272330298	18.513993978500366	0.6587417189999993	15.571387123000001
pglib_opf_case1354_pegase.m	1.0	42.0	10035.252877323368	0.5799529552459717	0.04474537299999998	0.397944409
pglib_opf_case13659_pegase.m	1.0	57.0	68679.51302401115	12.268047094345093	0.6583555279999997	8.959572134000004
pglib_opf_case179_goc.m	1.0	43.0	6049.5704554643635	0.0737919807434082	0.005364362999999999	0.048889840999999996
pglib_opf_case19402_goc.m	1.0	70.0	53346.44711809902	54.328773021698	1.4135777199999997	47.542241312000016
pglib_opf_case2000_goc.m	1.0	38.0	9303.814366490853	1.13820219039917	0.073592679	0.792725534
pglib_opf_case20758_epigrids.m	1.0	46.0	41879.823892205866	23.78499484062195	0.9281030429999995	19.04047546100001
pglib_opf_case2312_goc.m	1.0	38.0	3090.3523625997973	0.9815950393676758	0.06426777200000001	0.7048480450000001
pglib_opf_case2742_goc.m	1.0	121.0	4729.334464144517	8.803988933563232	0.35849072799999965	5.046934941999999
pglib_opf_case2869_pegase.m	1.0	51.0	19051.59158957103	1.8408410549163818	0.12747236	1.308207523
pglib_opf_case30000_goc.m	1.0	130.0	13667.841039172707	69.58027815818787	3.162161392999998	57.822224083
pglib_opf_case3022_goc.m	1.0	47.0	2204.334915109994	1.5037119388580322	0.10650439700000001	1.070091563
pglib_opf_case3970_goc.m	1.0	44.0	3359.6642813849276	3.443743944168091	0.155030462	2.4698427889999994
pglib_opf_case4020_goc.m	1.0	57.0	9272.930316537953	6.481166124343872	0.21176802600000005	5.331250138999998
pglib_opf_case4601_goc.m	1.0	66.0	8460.62117543621	5.199321031570435	0.25227348300000013	3.920406837999998
pglib_opf_case4619_goc.m	1.0	46.0	12000.489228173037	5.374011039733887	0.19903445100000017	4.2894163910000005
pglib_opf_case4837_goc.m	1.0	55.0	12081.906290310173	4.406317949295044	0.23252323799999988	3.170659676
pglib_opf_case4917_goc.m	1.0	55.0	4434.959647610567	3.3683431148529053	0.2084781819999999	2.2441030760000014
pglib_opf_case500_goc.m	1.0	35.0	5249.020314187715	0.1725330352783203	0.011951354999999995	0.121605809
pglib_opf_case5658_epigrids.m	1.0	46.0	9255.144155504338	5.094120979309082	0.23397607700000003	3.4922222019999993
pglib_opf_case7336_epigrids.m	1.0	45.0	13353.171223580079	5.822048902511597	0.2807000839999999	4.336717016
pglib_opf_case78484_epigrids.m	1.0	96.0	108900.74447330479	305.02864384651184	8.735474466999996	270.4359224240001
pglib_opf_case793_goc.m	1.0	31.0	3239.420626845162	0.2142488956451416	0.014486702000000006	0.14619404099999997
pglib_opf_case8387_pegase.m	1.0	70.0	21166.657846546605	9.560524225234985	0.5492713539999996	6.766273253000001
pglib_opf_case89_pegase.m	1.0	30.0	2536.4750855806037	0.04220700263977051	0.0033357100000000026	0.026819471
pglib_opf_case9241_pegase.m	1.0	62.0	46002.710003336375	9.900245189666748	0.545335524	7.089668010999999
pglib_opf_case9591_goc.m	1.0	64.0	11877.001339806198	17.466575860977173	0.5608642239999997	14.904820694999998
